column_name	donor	cond_num	src_label	stimulus	agonist	dose	vendor_catalog	vehicle	fastq_r1	fastq_r2	md5_r1	md5_r2
TZ10_1	TZ10	1	M0 Low	none	none	none		0.025% DMSO	TZ10_1_S1_R1_001.fastq.gz	TZ10_1_S1_R2_001.fastq.gz		
TZ10_2	TZ10	2	TLR1-2	TLR1-2	CU-T12-09	10 µM	Millipore Sigma 5325830001	0.025% DMSO	TZ10_2_S2_R1_001.fastq.gz	TZ10_2_S2_R2_001.fastq.gz		
TZ10_3	TZ10	3	TLR3	TLR3	Poly(I:C)	20 µg/mL	Tocris Bioscience 42-871-0	0.025% DMSO	TZ10_3_S3_R1_001.fastq.gz	TZ10_3_S3_R2_001.fastq.gz		
TZ10_4	TZ10	4	TLR4	TLR4	LPS	100 ng/mL	Millipore Sigma L2630-10	0.025% DMSO	TZ10_4_S4_R1_001.fastq.gz	TZ10_4_S4_R2_001.fastq.gz		
TZ10_5	TZ10	5	TLR7	TLR7	Imiquimod	10 µg/mL	Fisher Scientific AAJ63990MC	1% DMSO	TZ10_5_S5_R1_001.fastq.gz	TZ10_5_S5_R2_001.fastq.gz		
TZ10_6	TZ10	6	TLR8	TLR8	CL075	0.5 µg/mL	Millipore Sigma SML2235	0.025% DMSO	TZ10_6_S6_R1_001.fastq.gz	TZ10_6_S6_R2_001.fastq.gz		
TZ10_7	TZ10	7	TLR9	TLR9	CpG ODN 2006	5 µg/mL	Integrated DNA Technologies, custom	0.025% DMSO	TZ10_7_S7_R1_001.fastq.gz	TZ10_7_S7_R2_001.fastq.gz		
TZ10_8	TZ10	8	STING	STING	cGAMP	10 µg/mL	Invivogen tlrl-nacga23-5	0.025% DMSO	TZ10_8_S8_R1_001.fastq.gz	TZ10_8_S8_R2_001.fastq.gz		
TZ10_9	TZ10	9	M0 High	none	none	none		1% DMSO	TZ10_9_S9_R1_001.fastq.gz	TZ10_9_S9_R2_001.fastq.gz		
TZ11_1	TZ11	1	M0 Low	none	none	none		0.025% DMSO	TZ11_1_S10_R1_001.fastq.gz	TZ11_1_S10_R2_001.fastq.gz		
TZ11_2	TZ11	2	TLR1-2	TLR1-2	CU-T12-09	10 µM	Millipore Sigma 5325830001	0.025% DMSO	TZ11_2_S11_R1_001.fastq.gz	TZ11_2_S11_R2_001.fastq.gz		
TZ11_3	TZ11	3	TLR3	TLR3	Poly(I:C)	20 µg/mL	Tocris Bioscience 42-871-0	0.025% DMSO	TZ11_3_S12_R1_001.fastq.gz	TZ11_3_S12_R2_001.fastq.gz		
TZ11_4	TZ11	4	TLR4	TLR4	LPS	100 ng/mL	Millipore Sigma L2630-10	0.025% DMSO	TZ11_4_S13_R1_001.fastq.gz	TZ11_4_S13_R2_001.fastq.gz		
TZ11_5	TZ11	5	TLR7	TLR7	Imiquimod	10 µg/mL	Fisher Scientific AAJ63990MC	1% DMSO	TZ11_5_S14_R1_001.fastq.gz	TZ11_5_S14_R2_001.fastq.gz		
TZ11_6	TZ11	6	TLR8	TLR8	CL075	0.5 µg/mL	Millipore Sigma SML2235	0.025% DMSO	TZ11_6_S15_R1_001.fastq.gz	TZ11_6_S15_R2_001.fastq.gz		
TZ11_7	TZ11	7	TLR9	TLR9	CpG ODN 2006	5 µg/mL	Integrated DNA Technologies, custom	0.025% DMSO	TZ11_7_S16_R1_001.fastq.gz	TZ11_7_S16_R2_001.fastq.gz		
TZ11_8	TZ11	8	STING	STING	cGAMP	10 µg/mL	Invivogen tlrl-nacga23-5	0.025% DMSO	TZ11_8_S17_R1_001.fastq.gz	TZ11_8_S17_R2_001.fastq.gz		
TZ11_9	TZ11	9	M0 High	none	none	none		1% DMSO	TZ11_9_S18_R1_001.fastq.gz	TZ11_9_S18_R2_001.fastq.gz		
TZ12_1	TZ12	1	M0 Low	none	none	none		0.025% DMSO	TZ12_1_S19_R1_001.fastq.gz	TZ12_1_S19_R2_001.fastq.gz		
TZ12_2	TZ12	2	TLR1-2	TLR1-2	CU-T12-09	10 µM	Millipore Sigma 5325830001	0.025% DMSO	TZ12_2_S20_R1_001.fastq.gz	TZ12_2_S20_R2_001.fastq.gz		
TZ12_3	TZ12	3	TLR3	TLR3	Poly(I:C)	20 µg/mL	Tocris Bioscience 42-871-0	0.025% DMSO	TZ12_3_S21_R1_001.fastq.gz	TZ12_3_S21_R2_001.fastq.gz		
TZ12_4	TZ12	4	TLR4	TLR4	LPS	100 ng/mL	Millipore Sigma L2630-10	0.025% DMSO	TZ12_4_S22_R1_001.fastq.gz	TZ12_4_S22_R2_001.fastq.gz		
TZ12_5	TZ12	5	TLR7	TLR7	Imiquimod	10 µg/mL	Fisher Scientific AAJ63990MC	1% DMSO	TZ12_5_S23_R1_001.fastq.gz	TZ12_5_S23_R2_001.fastq.gz		
TZ12_6	TZ12	6	TLR8	TLR8	CL075	0.5 µg/mL	Millipore Sigma SML2235	0.025% DMSO	TZ12_6_S24_R1_001.fastq.gz	TZ12_6_S24_R2_001.fastq.gz		
TZ12_7	TZ12	7	TLR9	TLR9	CpG ODN 2006	5 µg/mL	Integrated DNA Technologies, custom	0.025% DMSO	TZ12_7_S25_R1_001.fastq.gz	TZ12_7_S25_R2_001.fastq.gz		
TZ12_8	TZ12	8	STING	STING	cGAMP	10 µg/mL	Invivogen tlrl-nacga23-5	0.025% DMSO	TZ12_8_S26_R1_001.fastq.gz	TZ12_8_S26_R2_001.fastq.gz		
TZ12_9	TZ12	9	M0 High	none	none	none		1% DMSO	TZ12_9_S27_R1_001.fastq.gz	TZ12_9_S27_R2_001.fastq.gz		
